sentence,spoiler,verb,page,trope,num_present
caprica shown daniel grayston unabl build sentient cylon even use metacognitiveprocessor stolen rival vergis,True,True,caprica,man grew proud,False
clear ever daniel goal cylon possess true humanlevel degre sentience oppos just effect robots,True,True,caprica,man grew proud,False
turn daniel daughter zoe creat necessari softwar produc true artifici intellig prompt one head beings bsg suppos repres god,True,True,caprica,man grew proud,False
rais question whether human truli respons downfall engin higher power ,True,True,caprica,man grew proud,False
way tauron treat caprica add this,False,True,caprica,anti villain,False
battlestar galactica fan know command fleet name bill adama introduc young william adama certain assumpt made ,True,True,caprica,anyon can die,False
die penultim episode,True,True,caprica,anyon can die,False
turn bill adama battlestar younger halfbrother due tauron tradit name new children deceas siblings,True,True,caprica,anyon can die,False
famili reunites manag toppl claric cellgroup save thousand live ,True,True,caprica,bad ass famili,False
grandma ruthless here dragons kill halatha assassin kitchen knife  mention use one ,True,True,caprica,bad ass grandma,False
 claric willow closest seri major villan least final reveal one incit first cylon war,False,True,caprica,big bad,False
none corpor exec corrupt daniel greyston particular wellrounded sympathetic deepli human ,True,True,caprica,corrupt corpor execut,False
even toma vergi portray hew particular form honor,True,True,caprica,corrupt corpor execut,False
also abl provid kind dirt misbehavior member grayston board director use blackmail ,True,True,caprica,corrupt corpor execut,False
coloni find idea quit alien,False,True,caprica,etern sexual freedom,False
probabl various complaint him death willi adama enough turn lot halatha guatrau threaten civil war within organization,True,True,caprica,even evil standard,False
zoe tamara die ,True,True,caprica,first episod spoiler,False
make machin superior us mental physic complet sentient afford rights liberties yet program defend ,True,True,caprica,genr blind,False
let forc subservi role work menial task take crap day,True,True,caprica,genr blind,False
possibl go wrong,True,True,caprica,genr blind,False
 exact said talk compani massproduc cylon militari get idea,True,True,caprica,genr blind,False
goe horribl wrong awhil think avatar dead yet later begin suspect still body,True,True,caprica,genr blind,False
do,True,True,caprica,genr blind,False
heard me,False,True,caprica,happili marri,False
amanda daniel greyston count too amanda knew dan to gravedanc does still and mayb even more happili marri ,False,True,caprica,happili marri,False
claric laci dinner one husband ask isnt,False,True,caprica,hot student,False
add fact recent learn mani thing zoe previous know boyfriend plan leave monotheist etc admiss zoe guilt like caus heroic bsod plan even rationallythought act,True,True,caprica,idiot ball,False
turn u87 respond laci design control ,True,True,caprica,kid remot control,True
bear mccreari  all,False,True,caprica,leitmotif,False
 badass ador there anoth sky tamara adam avatar well way becom one,True,True,caprica,littl miss badass,False
daniel inadvert logic bomb simul amanda demand attack emot program pleas him,True,True,caprica,logic bomb,False
although first glanc simpli appear good simul sapience twitter feed suggest know thing charact  fact zoe grayston avatar trap within prototyp cylon bodi ,True,True,caprica,obfusc stupid,False
spell said twitter name guess zoe saw need keep  although tell tell parents,True,True,caprica,obfusc stupid,False
also tamara adama pull briefli end anoth sky  allow deres avatar player gang attempt manipul ,True,True,caprica,obfusc stupid,False
seri final daniel amanda grayston fulli accept zoe avatar substitut dead daughter it help possess almost everi memori origin zoe did even provid physic bodi can interact real world,False,True,caprica,replac goldfish,False
first coloni cylon  though first cylon ever bsg viewer know cylon kobol human charact caprica  present young girl accident stuck robot body said girl part extremist religi cult basic spout one true god rhetor cylon baltarist known bsg series cult follow either nonexist bsg never mention inexplic reason,True,True,caprica,ret con,False
exist cult fact member kill adama family never mentioned even baltar basic restart it,True,True,caprica,ret con,False
confound fact zoe never seen mention bsg anyone,True,True,caprica,ret con,False
alway knew coloni downgrad tech cylon war caprica show level eclips battlestar pegasus,True,True,caprica,ret con,False
revis version retcon however rewrite,True,True,caprica,ret con,False
element avert finale joe sam escap halatha kill guatrau replac daughter becom clear admir adama second joe children bear name william,True,True,caprica,ret con,False
lot person chang can happen 50 years,True,True,caprica,ret con,True
lot first exampl given actual subvers trope sinc turn william adama appear virtual everi episod seri command bill adama ,True,True,caprica,ret con,False
end line zoe come rachel decid from agn  love thing crazi alert security,True,True,caprica,robosexu,False
children human shall riseand crush one first gave life,False,True,caprica,rous speech,False
true last five episod will premier dvd,False,True,caprica,screw network,False
sam adama tri nephew william,False,True,caprica,sensei scoundrel,False
 daniel suspect zoe u87 order shoot famili dog,True,True,caprica,shoot dog,True
without hesitation refus wouldv proven father suspicion ,True,True,caprica,shoot dog,False
however gun load blanks later reveal tell weight ,True,True,caprica,shoot dog,False
pretti much sum look claric face meet new bless mother the shape thing come,True,True,caprica,gonna suck,False
expect obvious  turn master ,False,True,caprica,three law compliant,False
laci final five episodes shape thing come turn new bless mother pope monotheist faith ,True,True,caprica,took level badass,False
anyon watch commerci lead seri premier tv will find zoe grayston tamara adama die earli on,False,True,caprica,trailer alway spoil,False
diego carri penultim episod holi mother order kill lacey make look like accid ,True,True,caprica,villain ball,False
instead kill clean deniabl way ordered resist impuls play sadist power game pull shoot mate  dead graduat odin,True,True,caprica,villain ball,False
direct result diego die instead lacey lacey upset shoot mate set hord killbot sto leadership,True,True,caprica,villain ball,False
daniel receiv phone call see news is,True,True,caprica,wham episod,False
noth compar the shape thing come,True,True,caprica,wham episod,False
headzo thing lock away headsix headbaltar tricia helfer jame calli available,True,True,caprica,,False
zoe might met one final five vworld season 2,True,True,caprica,,True
caprica citi pretti realist blimps similar see float stadium world,False,True,caprica,zeppelin anoth world,False
grim reaper miss penalti kick lost,False,True,casadosconhijos,just punch cthulhu,False
however fate treasur sobremont well knownh escap bueno air invasion take money citi prevent taken no cowardice law instruct case foreign attack like that british intercept lujn got money sent london parad kept,False,True,casadosconhijos,histori march,False
show contain exampl of absenc make heart go yonder henriette casanova thrown jail ,True,True,casanova,b b c,False
grant halfbroth sister still,True,True,casanova,brother sister incest,False
catchphrase use catchphrase,False,True,catchphrase,titl drop,False
practic ran them particular graphic improv enough draw thing oppos words,False,True,catchphrase,visual pun,False
seri three women angel origin kate jackson late farrah fawcettmajors jaclyn smith graduat los angel polic academi assign duti handl switchboard direct traffic,False,True,charliesangels,stay kitchen,False
origin angel frustrat policewomen new angel convict get second chanc charlie,False,True,charliesangels,stay kitchen,False
cancel four episod of eight produced,False,True,charliesangels,stay kitchen,False
charli may seen except seri final   aveng angel episod also heard,True,True,charliesangels,absente actor,False
example eric knox who sleep with although know big bad  thin man who origin go kiss alex accord filmmakers chang dylan keep lust bad boys ,True,True,charliesangels,girl want bad boy,False
second film also lust one villain henchmen later reveal that past relationship seamus ogradi ,True,True,charliesangels,girl want bad boy,False
first movi show flashback natali pull one drive exam,False,True,charliesangels,car ski,False
natali love although seem make unintentionally,False,True,charliesangels,doubl entendr,False
thin man eric knox first movie,True,True,charliesangels,dragon,False
well sort like entir name embarrassing second movie reveal dylan sander use name helen zass just say loud chang place wit protect program,True,True,charliesangels,embarrass first name,False
much cast actual spoof video,False,True,charliesangels,male gaze,False
oh madison got two goldplat ones,False,True,charliesangels,rare gun,False
thin man second movi although given abl surviv first movie lot specul may actual still alive,True,True,charliesangels,redempt equal death,False
make valiant attempt speak later on manag get word out stab dylan and audience get find can,True,True,charliesangels,speechless,False
trailer market full throttl play madison lee status big bad despit present film surpris twist,True,True,charliesangels,trailer alway spoil,False
first movie eric knox want kill charli  mistakenly believ kill father,True,True,charliesangels,kill father,False
angel cuban mission accus cocain plant evid ,True,True,charliesangels,frame guilti parti,False
like him bosley tell engaged,False,True,charliesangels,cant nice thing,False
paig firm deal case abus child,False,True,charmed,abus male,False
one femal portray sympathetically,False,True,charmed,abus male,False
young witch kevin power thought project sinc use draw focus,False,True,charmed,art initi life,False
strangely good evil power function orb blink teleport power ,False,True,charmed,bad power bad peopl,False
witch sudden start blinking obvious evil blink warlockon power warlock evil,False,True,charmed,bad power bad peopl,False
later seasons piper brains got promot eldest sister phoeb brawn especi use shefu  paig beauty sister least experience,False,True,charmed,beauti brain brawn,False
one season,False,True,charmed,big bad,False
season 1 inspector rodriguez season 2 four horsemen apocalyps season 3 triad season 4 sourc evil cole  though realli just pawn manipul seer,True,True,charmed,big bad,True
latter or former chronologically result paig ,True,True,charmed,bodyguard crush,False
action momentarili slow show prue use power stop repel woman bullet back her,False,True,charmed,bullet time,False
though straight example piper abil seem stop time demonstr freez bullets tend happen occasion,False,True,charmed,bullet time,False
though avert sister get sent back 1700s out witch get hang instead,False,True,charmed,burn witch,True
season 3 especi season 4 circumstances includ death prue acquir newer much aggress power  forc adopt nononsense takecharg attitud thing becom matriarch family,True,True,charmed,charact develop,True
piper especi develop explos powers,False,True,charmed,chef iron,False
know fu grams fine ,False,True,charmed,curs cut short,False
piper f leo fellow whitelighter,False,True,charmed,curs cut short,False
posit feedback continu ad infinitum,False,True,charmed,dead upgrad,False
however still origin powers logic piggyback gain made empathi feedback loop,False,True,charmed,dead upgrad,False
billi thought christi turn charm one ,True,True,charmed,defector decad,False
invert phoeb pregnancy demon child turn evil,False,True,charmed,deliv us evil,False
victor forc away want daughter use magic  sam abandon paig save elder chris miss father latter busi elder ,True,True,charmed,disappear dad,False
prue episode well,False,True,charmed,empath,False
andi s death season 1 final order free prue storylines,True,True,charmed,execut meddl,True
tellingly season 5 seri return seasonlong arcs,False,True,charmed,execut meddl,True
even forgav phoeb paig stole soul ,True,True,charmed,extrem doormat,False
manag grow spine get put wringer one mani time without thank put distanc girls,True,True,charmed,extrem doormat,False
interestingly reason feud someth concret recent the death one famili daughter rather someth vagu happen generat ago feud resolv relat peac reveal reason everyth escal ghost dead girl keep go displac sens vengeanc ,True,True,charmed,feud famili,False
paig love interest episod the one ghost wanted even hang around while altern sourc help danger depend episode attempt get rid famili bad karma end endang phoeb and even expos magic world boyfriend ,True,True,charmed,feud famili,False
 earli instal weird  season rot someth chang constanc m burg left,False,True,charmed,flander,False
prue pass away piper took role wise cool big sis still deadpan snarker trait intact,False,True,charmed,four girl ensembl,False
way stop hollow destroy heaven earth hell alik yin yang bomb spell,False,True,charmed,heartless,False
billi she suck hero villain ,True,True,charmed,heroic wannab,False
human piper son phoeb children trope appli them well,False,True,charmed,human mom nonhuman dad,False
invert case cole whose mother demon father human,False,True,charmed,human mom nonhuman dad,False
subvert trope explain just want tri whether realli indestruct goe ax crazi good confirmation,True,True,charmed,self termin,False
sister confront darklighter,False,True,charmed,iron echo,False
first time it instead fake death,False,True,charmed,kill one love,False
second time happen taken idiot ball episod earlier,False,True,charmed,kill one love,False
actual move lasers power stop time come handi burglary,False,True,charmed,laser hallway,False
probabl vicious attempt episod 4th season took place insan asylum insid piper mind ,True,True,charmed,leav quest test,True
doesnt age rapidly,False,True,charmed,life drinker,False
basic thing save show prue kill ,True,True,charmed,long lost relat,False
fact patti halliwel affair whitelight mention thing save ass pull ,True,True,charmed,long lost relat,False
also leo will becom avatar save wife that kill elder save son,False,True,charmed,love make evil,False
paig never knew sinc rais muggl foster parent ,False,True,charmed,miss mom,False
rose mcgowan aka paig inverse alway eager point just like steadi paycheck,False,True,charmed,money dear boy,False
come across grams tri convinc let resurrect use spirit halliwel line babi wyatt christening,False,True,charmed,necromant,False
although kill destroy belong vocabulary sister seem prefer vanquish demons,False,True,charmed,never say die,False
 one might also take cake cole give evil power within wizard can final free love phoebe,False,True,charmed,nice job break hero,False
appear rather often one case whole episod mr,False,True,charmed,even human,False
monster week fact demon appear human corrupt corpor execut ,False,True,charmed,even human,False
season 6 except  see close door hospit room babi chris born ,True,True,charmed,season,True
though scene chris magic close door happen middl episode,True,True,charmed,season,False
problem is latter half season 4 made quit clear cole possess old sourc overtaken,False,True,charmed,plot hole,True
valhalley dolls season six premiere sister get turn valkyri ,False,True,charmed,power walk,False
prue futur self got waist length blond hair,False,True,charmed,rapunzel hair,False
offscreen alyssa milano date brian kraus shannen doherti julian mcmahon couple,False,True,charmed,real life relat,False
end darryl promis wife help charm one anymore destroy sourc power kill big bad final chang face start live normal lives,True,True,charmed,seri fauxnal,False
also prue mention lot even episod titl mirror titl pilot episode,True,True,charmed,seri fauxnal,False
got renew ,True,True,charmed,seri fauxnal,False
mortal warlock sometim even get action too,False,True,charmed,shirtless scene,False
also magic be natur super speed  dwarv leprechauns,False,True,charmed,super speed,False
season 3 seem throw toward shannen doherti prue put bus hell ,False,True,charmed,take,True
sin francisco possess dead sin pride turn rage egomaniac,False,True,charmed,take,False
tempus demon time trap sister groundhog day loop season one,False,True,charmed,time master,False
probabl also count prue funer funer piper phoebe paig fake death ,True,True,charmed,twenti four hour parti peopl,False
yup exist too,False,True,charmed,valkyri,False
show cancel five episod left first season,False,True,chase,jerri bruckheim,False
turn forc hostag ,True,True,chase,destin defenestr,False
fugitive seri  guilti subjects,False,True,chase,stern chase,False
 use everi singl episod  brother provid obscur fact show subject particip extrem facial closeup,False,True,cheapseats,e s p n,False
frequent made back episodes occasion standup routine,False,True,cheapseats,call back,False
competit juggler jason garfield sport hobby episod come this friend come forward explain meant parodi competit juggler treat hobbi serious busi ,False,True,cheapseats,jerk jock,False
john ratzenberg promot main cast credit second season,False,True,cheers,ascend extra,False
sam usual this,False,True,cheers,benevol boss,False
live vain,False,True,cheers,quiet nudg,False
promis make joke it,False,True,cheers,blunt yes,False
frasier know go suffer tomorrow today right now exact moment happiest man earth,False,True,cheers,cat fight,False
diane written longwind novel record longwind answer machin message made longwind speeches,False,True,cheers,charact filibust,False
various refer made coach away colasanto treat illness one episod vermont take driver test anoth famili reunion,False,True,cheers,charact outliv actor,False
first second episod cliffhang own third one end season massiv one sam make phone call propos  episod end recipi revealed,True,True,cheers,cliff hanger,False
jay thoma insult rhea perlman physic attract nation radio,True,True,cheers,drop bridg,False
producers say thrilled soon eddi lebec kill humili way turn polygamist sour audienc opinion charact ,True,True,cheers,drop bridg,False
pilot sam tell coach dian hooker ,True,True,cheers,embarrass cover,False
penultim show sam reveal bald wear toupe ,True,True,cheers,embarrass cover,False
2 good 2 4 real unsurpris except diane even insist pronounc  meem ,False,True,cheers,everyon hate mime,True
fake end sam dian wed season final film audienc present one spoil end reveal dian last episod ,True,True,cheers,foiler footag,False
respons who three peopl never kitchen,False,True,cheers,game show appear,False
streak stay alive,False,True,cheers,hit dammit,False
piano worked,False,True,cheers,mayb magic mayb mundan,False
unfortunately rememb put it,False,True,cheers,plan prototyp backup,False
two differ actor play gari various bar wars episodes,False,True,cheers,darrin,False
unusu charact use afterwards,False,True,cheers,romant fals lead,False
sam turn am,False,True,cheers,slap slap kiss,False
get back them,False,True,cheers,snipe hunt,False
seri finale one road dian call sam six year away,False,True,cheers,split screen phone call,False
eventu get better,False,True,chef,bumbl sidekick,False
health inspector long chees sit out,False,True,chef,deadpan snarker,False
surprisingly everton come caribean food,False,True,chef,suprem chef,False
confus chariti slasher film seri ,False,True,childsplay,game show,False
use uniqu way whenev child said word contest tri guess censor bleep put oops,False,True,childsplay,sound effect bleep,False
turn also back warlord will suppli weapon information believ can control taliban them will betray demon alli order it admit faces,True,True,chrisryansstrikeback,richard armitag,False
even nonamerican viewer may find depict unneed demon toward america,True,True,chrisryansstrikeback,richard armitag,False
make second seri play straight focus american soldier littl iron really,True,True,chrisryansstrikeback,richard armitag,False
actual know just nuclear explos copenhagen thing danish cultur begin 21st century,True,True,christmasonvesterbro,just dream,True
arn get danni job mall santa ,False,True,christmasonvesterbro,mall santa,False
play straight  subvert hard greta,True,True,christmasonvesterbro,reason author figur,False
realli just landladi want money go around act strang way,True,True,christmasonvesterbro,reason author figur,False
is find nazi ,True,True,christmasonvesterbro,reason author figur,False
howev make pretti clear earli incred racist everytim actual insid stardust apartment spend age rag danni which eventu transform strang complimentori comeon physique,True,True,christmasonvesterbro,reason author figur,False
time produc told us stori majest creatur went extinct ,False,True,clashofthedinosaurs,discoveri channel,False
list trope appear series anachron stew easili avoided sinc mani anim appear one contemporari real life ,False,True,clashofthedinosaurs,discoveri channel,False
actually program impli deinonychus fed juvenil tyrannosaur  30million year gap two,False,True,clashofthedinosaurs,discoveri channel,True
extinct event end cretac happen ,True,True,clashofthedinosaurs,foregon conclus,False
chariti event six teenag wit believ murder tell author surpris one believ them,False,True,clue,mini seri,False
whittaker want tesla devic make profit kroger least claim wellintent extremist ,True,True,clue,big bad ensembl,False
free energi devic creat nikola tesla ,True,True,clue,lost technolog,False
quick catch on though ,True,True,clue,oblivi love,False
sarah elli sides,True,True,clue,gambit,False
unnam charact play dick van dyke choos moment walk conspicu across set,False,True,coach,want meet old friend mine,False
show provid exampl of accident murder number cases,False,True,coldcase,dramat hour long,False
plan blackout justice greed just name georg mark mother reveal abus bitch kept son lock attic blame everyth wrong life call the darkness kill still littl boy told burglar rape instead ,True,True,coldcase,asshol victim,False
wit save sammi boy high function autism ,True,True,coldcase,tell lie,False
regress sever years make hard even tell truth,True,True,coldcase,tell lie,False
lili dad alcohol like mom becam sober mom threw cut lili christina,True,True,coldcase,daddi good reason abandon,False
killer blood track took ident one victims,True,True,coldcase,dead person imperson,False
turn out easi bore strong resembl ,True,True,coldcase,dead person imperson,False
hen hous  murder nazi guard auschwitz stole name young man kill campboth escap attempt redeem himself took name rest famili also die camp easili pass without much question even go far join man live famili member us who way know impostor like never met live among sixti years,True,True,coldcase,dead person imperson,False
caught thank investig murder commit 40 prevent expos halfenragedhalfheartbroken victim whom fallen love with reject find done,True,True,coldcase,dead person imperson,True
episod fli away  wood  ghost child child servic worker pedophile burglar child kidnapper respectively,True,True,coldcase,depart child disservic,False
also seen greed manipul stockbrok tell young men can get ahead sleep him sleep mother son get mother invest money ,True,True,coldcase,deprav bisexu,False
probabl many one particular stand exbeauti queen need feel sexual attract men men includ son grandson which get kill neglect plain jane daughter catch on,True,True,coldcase,evil matriarch,False
hous also scene corrupt warden broke two inmat finger someth look like pair pliers,False,True,coldcase,fingor,False
metamorphosi actual subversion discov lester realiti mean smug snake play dumb draw suspicion him,True,True,coldcase,gentl giant,False
gambit trick confess crime,True,True,coldcase,gentl giant,False
john smith tri lilli road ,False,True,coldcase,hannib lectur,False
subvert take far lilli kensington background prove vital case,True,True,coldcase,hannib lectur,False
georg mark use everyon episod in,True,True,coldcase,hannib lectur,False
part reason teacher true call murder knew fellow teacher use drug forc student bring him,True,True,coldcase,know much,False
lot episodes well blood track  one victim want confess polic crime suspect involv kill could,True,True,coldcase,know much,False
lampshaded episod thick thiev  victim son turn one shot ,True,True,coldcase,just want normal,False
consid road mother sinc 6 surpris feel way,True,True,coldcase,just want normal,True
friend save want popular,True,True,coldcase,crowd,False
one teacher use unpopular day cover rape still desper tri cool kid ,True,True,coldcase,crowd,False
then one turn victim dead ,True,True,coldcase,see dead peopl,False
still heavili shown syndic us least,False,True,coldcase,keep circul tape,False
stole said friend ident bore strong resembl famili friend notic differ ,True,True,coldcase,kill replac,False
lone heart  resolut  save sammi  soul ,True,True,coldcase,love make evil,False
20someth year later evidenc surfac prove result bomb,False,True,coldcase,make look like accid,True
 selftermin wish boy crazi  good death also featur angel deathtyp serial killer character,True,True,coldcase,merci kill,False
ironically killer man wife was,True,True,coldcase,merci kill,False
also letter  man suffoc lover gangrap drunken friends,True,True,coldcase,merci kill,False
also central plot death penalty final appeal consid just everi episod exampl this consid long someon abl get away murder even final caught end,True,True,coldcase,miscarriag justic,False
episod almost exclus use charttopp year episod case flashback ,False,True,coldcase,noth hit,False
one episod end promin politician admit valens record commit murder year ago,True,True,coldcase,proven,False
unfortunately sister  misguid show loyalty alreadi confess everything evid contradict claims,True,True,coldcase,proven,False
cop noth master fact hate victim enough tri and fail forc confess him,False,True,coldcase,proven,False
last part motiv master investig ask polic reopen case,False,True,coldcase,proven,False
serial killer georg mark use straight lilli wood ,True,True,coldcase,differ,False
lone heart,True,True,coldcase,outlaw coupl,False
mind hunter probabl one episod downer end ,True,True,coldcase,perfect crime,False
also runaway bunni  though episod main case,True,True,coldcase,perfect crime,False
still parallel perp walk 1919 case hand record confess greatgrandniec victim also greatgreatgrand niec killer 1929 case confisc murder weapon ghost killer look asham grandson,True,True,coldcase,perp walk,True
scotti girlfriend elisa was put bus hell asylum suffer mental breakdown despit scotti promis interned,True,True,coldcase,put bus,False
jump bridg time discharged,True,True,coldcase,bus crash,False
happen offscreen,True,True,coldcase,bus crash,False
number episod look again martha moxley strang fruit emmitt till etc base real life cases,False,True,coldcase,rip headlin,False
student question feel respons death descend life crime wouldv without intervention despit obvious talent writer ,True,True,coldcase,save student,False
victim skeleton shown multipl fractur result thrown bridg father,True,True,coldcase,soft water,False
well besid broken arm alreadi gave ,True,True,coldcase,soft water,False
creatur night  light flashback intrus usual everyon flashback act fair hammy,False,True,coldcase,stylist suck,False
river  though cop involved,True,True,coldcase,suicid cop,False
play straight georg marks lilli ,True,True,coldcase,suicid cop,False
 nick vera boy back  tripl threat  flashov suspend medley exit ,True,True,coldcase,one case,False
origin  hen hous  imit  spider ,True,True,coldcase,wacki nazi,False
suppos feel sorri ,False,True,coldcase,unfair sex,False
relationship never realli went beyond companionship even though fall love other,False,True,coldcase,unfair sex,False
georg mark see lilli this ensur one kill ,True,True,coldcase,worthi oppon,False
live varieti show 1950 host rotat group entertainers,False,True,colgatecomedyhour,dean martin,True
return champ morti mm,False,True,colgatecomedyhour,game show appear,False
columbo appear second act first polic presenc scene audienc left wonder whodunnit howzhegonnagetim or show creator dub it howcatchum,False,True,columbo,irregular seri,False
notabl oneoff includ richard kiley robert conrad ruth gordon janet leigh leonard nimoy oh first mysteri movi episod murder book direct random wunderkind name spielberg ,False,True,columbo,irregular seri,False
though general settl hors outset never let on instead worm way confid via fawn adulation beg assist solves case,False,True,columbo,irregular seri,False
columbo solv everi case put onscreen he sometim claim solv third total well part humil act gotten man case perp die anyway,False,True,columbo,irregular seri,False
show subsequ arrest trial might interest lot cases entir superflu them,False,True,columbo,irregular seri,False
finale tv movi plan written abc refus insur due falk age subsequ declin mental health  falk die 2011 last script still limbo,False,True,columbo,irregular seri,True
columbo provid exampl of absenc evid episod call the crucial game culprit caught columbo found phone call killer claim made 229 pm stadium box and record bug line lack sound halfhour chime anniversari clock box ,True,True,columbo,irregular seri,True
martin landau twin one murderer doubl shock one episod real killer unknown end,True,True,columbo,act two,False
beyond conveni plot coupon killer swap medic kill victim make sens hospit outsid drug brought like stock hand,True,True,columbo,artist licens medicin,False
extrem daring especi columbo goe guillotine  columbo hatch batman gambit requir murder tri kill him,True,True,columbo,batman gambit,False
fact sever episod columbo pull trick one uncommon gutsy columbo wrong crook tri kill him fact died,True,True,columbo,batman gambit,False
common mani detect seri period creator got bore standard milieu,False,True,columbo,busman holiday,False
let us just clear mrs columbo mrs,False,True,columbo,canon discontinu,False
columbo challeng big time peopl career job end sever troubl show everyon montoya great man fact coward kill friend tri hide fact caus montoya surrender,True,True,columbo,defeat undefeat,False
came close case immun murder suspect foreign nation diplomat immunity columbo fired,True,True,columbo,defeat undefeat,False
throughout major columbo films hell damn extent swearing,False,True,columbo,gosh dang heck,False
mayfield killer tri kill dr,False,True,columbo,heroic b s o d,False
columbo goe guillotine elabor setup end trick elliott blake reveal killer lead columbo pull gun say play judge juri executioner,True,True,columbo,heroic b s o d,False
though gun just bang flag pistol probabl scare holi hell killer though audienc either knew ruse columbo hate gun refus carri fire unless absolut necessary momentarili trick think lost mind,True,True,columbo,heroic b s o d,False
entir time polic radio report chatter car follow ,True,True,columbo,idiot ball,False
end slam brake avoid hit one polic car one behind car hit him give columbo whiplash,True,True,columbo,idiot ball,False
even charact known obfusc stupid scene play point make charact look incompetent,True,True,columbo,idiot ball,False
might fine either unplug lampin latter case circuit breaker shut offin former ceil fixture,False,True,columbo,idiot ball,False
play straight columbo goe colleg massiv pool blood,False,True,columbo,kensington gore,False
badg actual full name sign it name frank columbo sign onto badg prop still shot dvd releas abl prove,True,True,columbo,name given,False
however current debat whether name badg canon,True,True,columbo,name given,False
columbo reveal evid prove lie thus make liabl accomplic murder previous dopey eye turn ice cold turn without remorse,False,True,columbo,obfusc stupid,False
man think killer not,False,True,columbo,genr experi,False
episod also unusually murder  prime suspect murder  take place offscreen,True,True,columbo,genr experi,False
previous exampl minor one no time die complet went grain series,True,True,columbo,genr experi,False
abandon usual murder plot told stori kidnap play like psycholog thriller,True,True,columbo,genr experi,False
stori take place cours singl night,True,True,columbo,genr experi,False
undercover play bit mix usual columbo murder mysteri hunt piec photograph lead locat money stolen bank heist year before,True,True,columbo,genr experi,False
one fan patrick mcgoohan 60 spi show chuckl actor slip be see you one columbo appearances,False,True,columbo,shout,True
interview wabc mark simon  falk ask year solv high profil cases columbo still lieutenant,False,True,columbo,status quo god,False
however fail work columbo notic suppos expens watch counterfeit knockoff name brand watch killer know bought victim real deal gift time before know victim sold bought knockoff,False,True,columbo,stop clock,False
murder kill control brother tri end relationship lesli nielsen s character work him threaten fire him,False,True,columbo,sympathet murder,False
contemporari viewer will get chuckl of killer murder husband use dictaphon record fake kidnapping,False,True,columbo,technolog porn,False
seem first glanc act observ interact peopl know well turn actual like time,False,True,columbo,wonka,False
everyon army,False,True,combat,last name basi,False
main charact includ civilian neurosurgeon dr,False,True,combathospital,dramat hour long,False
drunk perform surgery,True,True,combathospital,dramat hour long,False
ok total subverted prison ,True,True,combathospital,asian nerdi,False
mark feel especi lock van investig taliban connect ,True,True,combathospital,chain command,False
main charact seen struggl major psycholog issu rang bobbi anger rage simon alcohol ,True,True,combathospital,dysfunct junction,False
possibl justifi serv horror wit deal regular basis,True,True,combathospital,dysfunct junction,False
season 1 end suzi memori interrupt new wound come medic staff,True,True,combathospital,end memori servic,True
suzi take arm gunman unarm herself prevent other shot give rebecca time come shoot him,True,True,combathospital,heroic sacrific,False
complet suicid littl brother help ,True,True,combathospital,hollywood atheist,False
grace justifi traumatis afghani orphan reveal knowledg taliban activ order get better outcom them,True,True,combathospital,,False
mark threaten send back home pull head ,True,True,combathospital,insuffer genius,False
rebecca hides slip back,True,True,combathospital,interrupt intimaci,False
come friend hockey game beat canadian contractor,True,True,combathospital,suppress rage,False
graham turn ariel exhusband task look get sick,True,True,combathospital,work ex,False
thing go awry however invit mutual acquaint abe fake studi group,False,True,community,half hour comedi,False
show viral epidem campus halloween parti parodi zombi movies includ shotforshot recreat scene legend shaun dead ,False,True,community,communiti s2 e06 epidemiolog,False
actual end spoof dinner andr ,True,True,community,communiti s2 e19 critic film studi,False
season 3 jeffbritta troyanni ship teas disappeared jeffanni becom primari sourc ship teas troy get fair amount abe britta,True,True,community,love unrequit,True
abe whole subplot entir background the psycholog let go  refer back appli anthropology shirley goe labor widespread confus among rest studi group,False,True,community,brick joke,False
subvert use debate team loses 508 and 8 annie ,True,True,community,chewbacca defens,True
fear pregnanc spread stds amongst students instruct abe make announc condom speaker system,False,True,community,complet miss point,False
professor duncan no w actually care,False,True,community,complet miss point,False
epidemiology gave us shirleychang ,True,True,community,crack pair,False
however brie avert exampl current 27 mean play someon older now play someon younger herself,False,True,community,dawson cast,True
safe,False,True,community,deadpan snarker,False
conscious effort made first six episod focus charact studi group turn episode,False,True,community,debut queue,False
std fair greendal commerci sever examples,True,True,community,epic fail,False
end episode reveal pierc actual genius ,True,True,community,foreshadow,False
 abe blunt repli yep prompt sadden yeah too highpitch voice,False,True,community,communiti s2 e17 intro polit scienc,False
 later first figur secret sex paradigm human memory,True,True,community,communiti s2 e08 cooper calligraphi,False
also shirley husband divorc stripper though back togeth anoth child now  pierc burn seven wives,True,True,community,happili marri,False
studi group students sinc everyth turn them,False,True,community,hero anoth stori,False
 abe one abe uncontrol christmas find mom start new family,True,True,community,heroic b s o d,False
second one biolog 101 charact cougarton abbey kill six episodes,True,True,community,heroic b s o d,True
recov britta show inspector spacetim ,True,True,community,heroic b s o d,False
need help gotta get here,False,True,community,hypocrit humor,False
done me,False,True,community,think broke,False
starburn kill offscreen car accidentmeth lab explos basic lupin urology,True,True,community,kill real,False
play straight coupl time physic education annie just like notebook  except instead alzheimers abe shirley mmhmm,False,True,community,last second word swap,False
season two dvd packag reveal admit minor spoiler much season shirley pregnant ,True,True,community,late arriv spoiler,False
